GEO.id,GEO.id2,GEO.display-label,B15002_001E,B15002_001M,B15002_001MA,B15002_001EA,B15002_002E,B15002_002EA,B15002_002M,B15002_002MA,B15002_003E,B15002_003EA,B15002_003M,B15002_003MA,B15002_004E,B15002_004M,B15002_004MA,B15002_004EA,B15002_005E,B15002_005EA,B15002_005M,B15002_005MA,B15002_006E,B15002_006M,B15002_006MA,B15002_006EA,B15002_007E,B15002_007EA,B15002_007M,B15002_007MA,B15002_008E,B15002_008M,B15002_008MA,B15002_008EA,B15002_009E,B15002_009EA,B15002_009M,B15002_009MA,B15002_010E,B15002_010M,B15002_010MA,B15002_010EA,B15002_011E,B15002_011M,B15002_011MA,B15002_011EA,B15002_012E,B15002_012EA,B15002_012M,B15002_012MA,B15002_013E,B15002_013M,B15002_013MA,B15002_013EA,B15002_014E,B15002_014M,B15002_014MA,B15002_014EA,B15002_015E,B15002_015EA,B15002_015M,B15002_015MA,B15002_016E,B15002_016M,B15002_016MA,B15002_016EA,B15002_017E,B15002_017EA,B15002_017M,B15002_017MA,B15002_018E,B15002_018EA,B15002_018M,B15002_018MA,B15002_019E,B15002_019EA,B15002_019M,B15002_019MA,B15002_020E,B15002_020M,B15002_020MA,B15002_020EA,B15002_021E,B15002_021M,B15002_021MA,B15002_021EA,B15002_022E,B15002_022M,B15002_022MA,B15002_022EA,B15002_023E,B15002_023EA,B15002_023M,B15002_023MA,B15002_024E,B15002_024M,B15002_024MA,B15002_024EA,B15002_025E,B15002_025EA,B15002_025M,B15002_025MA,B15002_026E,B15002_026M,B15002_026MA,B15002_026EA,B15002_027E,B15002_027M,B15002_027MA,B15002_027EA,B15002_028E,B15002_028EA,B15002_028M,B15002_028MA,B15002_029E,B15002_029EA,B15002_029M,B15002_029MA,B15002_030E,B15002_030M,B15002_030MA,B15002_030EA,B15002_031E,B15002_031EA,B15002_031M,B15002_031MA,B15002_032E,B15002_032M,B15002_032MA,B15002_032EA,B15002_033E,B15002_033EA,B15002_033M,B15002_033MA,B15002_034E,B15002_034EA,B15002_034M,B15002_034MA,B15002_035E,B15002_035M,B15002_035MA,B15002_035EA
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Annotation of Margin of Error!!Total:,Annotation of Estimate!!Total:,Estimate!!Total:!!Male:,Annotation of Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Annotation of Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!No schooling completed,Annotation of Estimate!!Total:!!Male:!!No schooling completed,Margin of Error!!Total:!!Male:!!No schooling completed,Annotation of Margin of Error!!Total:!!Male:!!No schooling completed,Estimate!!Total:!!Male:!!Nursery to 4th grade,Margin of Error!!Total:!!Male:!!Nursery to 4th grade,Annotation of Margin of Error!!Total:!!Male:!!Nursery to 4th grade,Annotation of Estimate!!Total:!!Male:!!Nursery to 4th grade,Estimate!!Total:!!Male:!!5th and 6th grade,Annotation of Estimate!!Total:!!Male:!!5th and 6th grade,Margin of Error!!Total:!!Male:!!5th and 6th grade,Annotation of Margin of Error!!Total:!!Male:!!5th and 6th grade,Estimate!!Total:!!Male:!!7th and 8th grade,Margin of Error!!Total:!!Male:!!7th and 8th grade,Annotation of Margin of Error!!Total:!!Male:!!7th and 8th grade,Annotation of Estimate!!Total:!!Male:!!7th and 8th grade,Estimate!!Total:!!Male:!!9th grade,Annotation of Estimate!!Total:!!Male:!!9th grade,Margin of Error!!Total:!!Male:!!9th grade,Annotation of Margin of Error!!Total:!!Male:!!9th grade,Estimate!!Total:!!Male:!!10th grade,Margin of Error!!Total:!!Male:!!10th grade,Annotation of Margin of Error!!Total:!!Male:!!10th grade,Annotation of Estimate!!Total:!!Male:!!10th grade,Estimate!!Total:!!Male:!!11th grade,Annotation of Estimate!!Total:!!Male:!!11th grade,Margin of Error!!Total:!!Male:!!11th grade,Annotation of Margin of Error!!Total:!!Male:!!11th grade,"Estimate!!Total:!!Male:!!12th grade, no diploma","Margin of Error!!Total:!!Male:!!12th grade, no diploma","Annotation of Margin of Error!!Total:!!Male:!!12th grade, no diploma","Annotation of Estimate!!Total:!!Male:!!12th grade, no diploma",Estimate!!Total:!!Male:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency),Annotation of Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency),Annotation of Estimate!!Total:!!Male:!!High school graduate (includes equivalency),"Estimate!!Total:!!Male:!!Some college, less than 1 year","Annotation of Estimate!!Total:!!Male:!!Some college, less than 1 year","Margin of Error!!Total:!!Male:!!Some college, less than 1 year","Annotation of Margin of Error!!Total:!!Male:!!Some college, less than 1 year","Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Male:!!Associate's degree,Margin of Error!!Total:!!Male:!!Associate's degree,Annotation of Margin of Error!!Total:!!Male:!!Associate's degree,Annotation of Estimate!!Total:!!Male:!!Associate's degree,Estimate!!Total:!!Male:!!Bachelor's degree,Annotation of Estimate!!Total:!!Male:!!Bachelor's degree,Margin of Error!!Total:!!Male:!!Bachelor's degree,Annotation of Margin of Error!!Total:!!Male:!!Bachelor's degree,Estimate!!Total:!!Male:!!Master's degree,Margin of Error!!Total:!!Male:!!Master's degree,Annotation of Margin of Error!!Total:!!Male:!!Master's degree,Annotation of Estimate!!Total:!!Male:!!Master's degree,Estimate!!Total:!!Male:!!Professional school degree,Annotation of Estimate!!Total:!!Male:!!Professional school degree,Margin of Error!!Total:!!Male:!!Professional school degree,Annotation of Margin of Error!!Total:!!Male:!!Professional school degree,Estimate!!Total:!!Male:!!Doctorate degree,Annotation of Estimate!!Total:!!Male:!!Doctorate degree,Margin of Error!!Total:!!Male:!!Doctorate degree,Annotation of Margin of Error!!Total:!!Male:!!Doctorate degree,Estimate!!Total:!!Female:,Annotation of Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Annotation of Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!No schooling completed,Margin of Error!!Total:!!Female:!!No schooling completed,Annotation of Margin of Error!!Total:!!Female:!!No schooling completed,Annotation of Estimate!!Total:!!Female:!!No schooling completed,Estimate!!Total:!!Female:!!Nursery to 4th grade,Margin of Error!!Total:!!Female:!!Nursery to 4th grade,Annotation of Margin of Error!!Total:!!Female:!!Nursery to 4th grade,Annotation of Estimate!!Total:!!Female:!!Nursery to 4th grade,Estimate!!Total:!!Female:!!5th and 6th grade,Margin of Error!!Total:!!Female:!!5th and 6th grade,Annotation of Margin of Error!!Total:!!Female:!!5th and 6th grade,Annotation of Estimate!!Total:!!Female:!!5th and 6th grade,Estimate!!Total:!!Female:!!7th and 8th grade,Annotation of Estimate!!Total:!!Female:!!7th and 8th grade,Margin of Error!!Total:!!Female:!!7th and 8th grade,Annotation of Margin of Error!!Total:!!Female:!!7th and 8th grade,Estimate!!Total:!!Female:!!9th grade,Margin of Error!!Total:!!Female:!!9th grade,Annotation of Margin of Error!!Total:!!Female:!!9th grade,Annotation of Estimate!!Total:!!Female:!!9th grade,Estimate!!Total:!!Female:!!10th grade,Annotation of Estimate!!Total:!!Female:!!10th grade,Margin of Error!!Total:!!Female:!!10th grade,Annotation of Margin of Error!!Total:!!Female:!!10th grade,Estimate!!Total:!!Female:!!11th grade,Margin of Error!!Total:!!Female:!!11th grade,Annotation of Margin of Error!!Total:!!Female:!!11th grade,Annotation of Estimate!!Total:!!Female:!!11th grade,"Estimate!!Total:!!Female:!!12th grade, no diploma","Margin of Error!!Total:!!Female:!!12th grade, no diploma","Annotation of Margin of Error!!Total:!!Female:!!12th grade, no diploma","Annotation of Estimate!!Total:!!Female:!!12th grade, no diploma",Estimate!!Total:!!Female:!!High school graduate (includes equivalency),Annotation of Estimate!!Total:!!Female:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency),Annotation of Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency),"Estimate!!Total:!!Female:!!Some college, less than 1 year","Annotation of Estimate!!Total:!!Female:!!Some college, less than 1 year","Margin of Error!!Total:!!Female:!!Some college, less than 1 year","Annotation of Margin of Error!!Total:!!Female:!!Some college, less than 1 year","Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Female:!!Associate's degree,Annotation of Estimate!!Total:!!Female:!!Associate's degree,Margin of Error!!Total:!!Female:!!Associate's degree,Annotation of Margin of Error!!Total:!!Female:!!Associate's degree,Estimate!!Total:!!Female:!!Bachelor's degree,Margin of Error!!Total:!!Female:!!Bachelor's degree,Annotation of Margin of Error!!Total:!!Female:!!Bachelor's degree,Annotation of Estimate!!Total:!!Female:!!Bachelor's degree,Estimate!!Total:!!Female:!!Master's degree,Annotation of Estimate!!Total:!!Female:!!Master's degree,Margin of Error!!Total:!!Female:!!Master's degree,Annotation of Margin of Error!!Total:!!Female:!!Master's degree,Estimate!!Total:!!Female:!!Professional school degree,Annotation of Estimate!!Total:!!Female:!!Professional school degree,Margin of Error!!Total:!!Female:!!Professional school degree,Annotation of Margin of Error!!Total:!!Female:!!Professional school degree,Estimate!!Total:!!Female:!!Doctorate degree,Margin of Error!!Total:!!Female:!!Doctorate degree,Annotation of Margin of Error!!Total:!!Female:!!Doctorate degree,Annotation of Estimate!!Total:!!Female:!!Doctorate degree
0400000US41,41,Oregon,2971396,868,null,null,1463373,null,735,null,17704,null,1093,null,7429,710,null,null,14165,null,1185,null,12959,988,null,null,14452,null,1164,null,19101,1163,null,null,22901,null,1338,null,29456,1245,null,null,342678,4883,null,null,112039,null,2422,null,245821,3560,null,null,126073,2567,null,null,310029,null,4608,null,120100,3039,null,null,38361,null,1564,null,30105,null,1230,null,1508023,null,754,null,16497,931,null,null,6585,727,null,null,11177,1050,null,null,11393,null,916,null,11544,892,null,null,16329,null,1068,null,18344,1227,null,null,22566,1204,null,null,325405,null,4117,null,128220,null,2817,null,253165,3730,null,null,144299,null,3332,null,334784,4181,null,null,155419,null,3122,null,30255,null,1354,null,22041,889,null,null
1600000US4104000,4100504000,"Barlow city, Oregon",161,144,null,null,76,null,71,null,0,null,13,null,0,13,null,null,0,null,13,null,0,13,null,null,0,null,13,null,0,13,null,null,0,null,13,null,1,4,null,null,13,11,null,null,46,null,68,null,5,4,null,null,4,7,null,null,3,null,4,null,0,13,null,null,3,null,4,null,1,null,4,null,85,null,76,null,0,13,null,null,0,13,null,null,0,13,null,null,0,null,13,null,0,13,null,null,0,null,13,null,1,2,null,null,0,13,null,null,9,null,10,null,2,null,3,null,56,71,null,null,3,null,5,null,12,14,null,null,0,null,13,null,0,null,13,null,2,3,null,null
1600000US4105250,4100505250,"Beavercreek CDP, Oregon",3233,386,null,null,1711,null,261,null,22,null,24,null,8,14,null,null,0,null,13,null,0,13,null,null,4,null,6,null,50,57,null,null,50,null,60,null,24,21,null,null,395,159,null,null,222,null,105,null,251,107,null,null,224,103,null,null,354,null,119,null,71,36,null,null,0,null,13,null,36,null,43,null,1522,null,184,null,18,22,null,null,0,13,null,null,0,13,null,null,0,null,13,null,0,13,null,null,22,null,21,null,0,13,null,null,7,12,null,null,302,null,95,null,151,null,64,null,312,127,null,null,207,null,91,null,371,118,null,null,108,null,53,null,24,null,26,null,0,13,null,null
1600000US4107550,4100507550,"Boring CDP, Oregon",1422,295,null,null,689,null,158,null,0,null,13,null,0,13,null,null,0,null,13,null,0,13,null,null,0,null,13,null,0,13,null,null,9,null,14,null,7,12,null,null,251,130,null,null,10,null,15,null,159,66,null,null,98,63,null,null,94,null,72,null,54,45,null,null,7,null,12,null,0,null,13,null,733,null,163,null,0,13,null,null,0,13,null,null,0,13,null,null,0,null,13,null,0,13,null,null,8,null,12,null,29,33,null,null,0,13,null,null,323,null,128,null,80,null,61,null,85,58,null,null,70,null,51,null,99,63,null,null,30,null,27,null,9,null,14,null,0,13,null,null
1600000US4110750,4100510750,"Canby city, Oregon",12652,384,null,null,6059,null,381,null,209,null,130,null,125,117,null,null,60,null,59,null,20,27,null,null,137,null,121,null,77,57,null,null,150,null,123,null,54,41,null,null,1593,294,null,null,347,null,112,null,1069,203,null,null,393,126,null,null,1141,null,308,null,410,123,null,null,113,null,67,null,161,null,165,null,6593,null,310,null,106,82,null,null,0,20,null,null,54,46,null,null,35,null,42,null,150,137,null,null,52,null,51,null,75,44,null,null,89,69,null,null,1487,null,224,null,757,null,217,null,1287,199,null,null,700,null,159,null,1226,259,null,null,514,null,141,null,24,null,22,null,37,30,null,null
1600000US4117800,4100517800,"Damascus CDP, Oregon",7640,864,null,null,3811,null,432,null,25,null,39,null,0,20,null,null,0,null,20,null,4,10,null,null,27,null,24,null,0,20,null,null,19,null,21,null,33,32,null,null,995,224,null,null,148,null,80,null,704,197,null,null,710,336,null,null,682,null,167,null,321,98,null,null,80,null,45,null,63,null,52,null,3829,null,522,null,8,13,null,null,0,20,null,null,0,20,null,null,14,null,19,null,8,13,null,null,1,null,3,null,61,50,null,null,63,43,null,null,1278,null,455,null,353,null,118,null,655,184,null,null,321,null,113,null,676,181,null,null,288,null,103,null,48,null,42,null,55,41,null,null
1600000US4123800,4100523800,"Estacada city, Oregon",2810,314,null,null,1328,null,160,null,34,null,47,null,0,13,null,null,0,null,13,null,0,13,null,null,0,null,13,null,21,34,null,null,37,null,57,null,30,37,null,null,493,233,null,null,154,null,102,null,195,128,null,null,128,101,null,null,172,null,98,null,0,13,null,null,47,null,77,null,17,null,27,null,1482,null,233,null,41,64,null,null,0,13,null,null,0,13,null,null,3,null,7,null,0,13,null,null,20,null,26,null,0,13,null,null,20,32,null,null,549,null,170,null,73,null,65,null,249,118,null,null,284,null,187,null,216,123,null,null,27,null,32,null,0,null,13,null,0,13,null,null
1600000US4129000,4100529000,"Gladstone city, Oregon",8761,435,null,null,3938,null,375,null,23,null,32,null,0,20,null,null,45,null,65,null,0,20,null,null,14,null,23,null,68,73,null,null,39,null,41,null,153,94,null,null,974,277,null,null,490,null,241,null,697,198,null,null,376,110,null,null,866,null,241,null,141,77,null,null,44,null,39,null,8,null,14,null,4823,null,326,null,114,124,null,null,0,20,null,null,27,39,null,null,3,null,7,null,34,39,null,null,54,null,60,null,77,102,null,null,49,61,null,null,1331,null,293,null,435,null,175,null,1067,256,null,null,408,null,175,null,956,240,null,null,252,null,93,null,16,null,26,null,0,20,null,null
1600000US4130250,4100530250,"Government Camp CDP, Oregon",84,98,null,null,51,null,59,null,0,null,13,null,0,13,null,null,0,null,13,null,0,13,null,null,0,null,13,null,0,13,null,null,0,null,13,null,0,13,null,null,24,40,null,null,0,null,13,null,0,13,null,null,0,13,null,null,0,null,13,null,0,13,null,null,27,null,44,null,0,null,13,null,33,null,47,null,0,13,null,null,0,13,null,null,0,13,null,null,0,null,13,null,0,13,null,null,0,null,13,null,0,13,null,null,0,13,null,null,0,null,13,null,0,null,13,null,28,46,null,null,5,null,12,null,0,13,null,null,0,null,13,null,0,null,13,null,0,13,null,null
1600000US4132050,4100532050,"Happy Valley city, Oregon",15112,514,null,null,7446,null,445,null,41,null,38,null,1,3,null,null,0,null,24,null,50,45,null,null,8,null,12,null,15,23,null,null,47,null,39,null,188,205,null,null,859,184,null,null,458,null,136,null,1024,218,null,null,883,213,null,null,2039,null,305,null,1011,235,null,null,621,null,224,null,201,null,107,null,7666,null,376,null,116,65,null,null,0,24,null,null,2,6,null,null,9,null,12,null,0,24,null,null,17,null,28,null,52,44,null,null,86,80,null,null,1316,null,351,null,360,null,146,null,1253,346,null,null,770,null,261,null,2496,287,null,null,856,null,190,null,148,null,74,null,185,102,null,null
1600000US4137400,4100537400,"Jennings Lodge CDP, Oregon",5984,782,null,null,2674,null,360,null,35,null,45,null,0,18,null,null,0,null,18,null,68,76,null,null,0,null,18,null,40,62,null,null,56,null,41,null,35,34,null,null,548,156,null,null,311,null,134,null,504,161,null,null,443,292,null,null,373,null,115,null,85,51,null,null,122,null,101,null,54,null,60,null,3310,null,497,null,45,34,null,null,0,18,null,null,32,52,null,null,74,null,87,null,15,17,null,null,15,null,22,null,15,21,null,null,60,59,null,null,905,null,210,null,273,null,118,null,476,266,null,null,183,null,81,null,828,252,null,null,266,null,123,null,81,null,71,null,42,36,null,null
1600000US4137650,4100537650,"Johnson City city, Oregon",369,77,null,null,159,null,40,null,0,null,13,null,0,13,null,null,2,null,4,null,5,6,null,null,5,null,8,null,0,13,null,null,0,null,13,null,16,14,null,null,57,25,null,null,16,null,11,null,33,17,null,null,6,7,null,null,12,null,10,null,7,7,null,null,0,null,13,null,0,null,13,null,210,null,51,null,2,3,null,null,0,13,null,null,2,5,null,null,0,null,13,null,0,13,null,null,4,null,5,null,0,13,null,null,14,13,null,null,72,null,31,null,25,null,12,null,29,17,null,null,36,null,31,null,21,14,null,null,5,null,7,null,0,null,13,null,0,13,null,null
1600000US4140550,4100540550,"Lake Oswego city, Oregon",29355,592,null,null,14181,null,502,null,44,null,46,null,0,27,null,null,4,null,11,null,0,27,null,null,25,null,30,null,1,3,null,null,44,null,54,null,34,32,null,null,940,269,null,null,570,null,209,null,1211,238,null,null,747,202,null,null,5697,null,465,null,2594,341,null,null,1434,null,318,null,836,null,220,null,15174,null,460,null,45,42,null,null,33,52,null,null,0,27,null,null,1,null,5,null,0,27,null,null,29,null,27,null,15,17,null,null,125,81,null,null,902,null,180,null,584,null,171,null,1691,252,null,null,952,null,226,null,5951,406,null,null,3479,null,373,null,746,null,165,null,621,195,null,null
