Town,FIPS
Oregon,41
Brownsville,4104309050
Idanha,4104735800
Lyons,4104744300
Millersburg,4100348300
Sodaville,4104368550
Tangent,4104372600
Waterloo,4104379050
Spray,4106969450
Burns,4102509800
Hines,4102534250
Prineville,4101359850
Amity,4107102000
Dayton,4107118250
Dundee,4107121050
Cave Junction,4103311850
Grants Pass,4103330550
Lonerock,4106943400
Elkton,4101922800
Haines,4100131600
Bend,4101705800
Vale,4104576600
Aumsville,4104703250
Fossil,4106926650
Klamath Falls,4103539700
Clatskanie,4100913750
Eagle Point,4102921550
Rogue River,4102963450
Talent,4102972500
Columbia City,4100914750
Rainier,4100960850
Vernonia,4100977250
Port Orford,4101559250
Lafayette,4107140300
Sheridan,4107167050
Yamhill,4107184250
Lakeside,4101140650
Myrtle Point,4101151050
North Bend,4101153000
Powers,4101159600
Ontario,4104554900
Harrisburg,4103932550
Mill City,4104348150
Scio,4104365650
Imbler,4106136050
Summerville,4106170850
Ione,4104936400
McMinnville,4107145000
Donald,4104720100
Rufus,4105564200
Butte Falls,4102910050
Gold Hill,4102929950
Jefferson,4104737250
Aurora,4104703300
Gervais,4104728650
Hubbard,4104735450
St. Paul,4104764850
Gates,4104328200
Elgin,4106122550
Antelope,4103102250
Dufur,4106520900
Maupin,4106546500
Mosier,4106550050
Jacksonville,4102937000
Medford,4102947000
Shady Cove,4102966550
Keizer,4104738500
Mount Angel,4104750150
Scotts Mills,4104765800
Stayton,4104770200
Sublimity,4104770700
Turner,4104775150
Arlington,4102102800
North Powder,4100153300
Detroit,4104719100
Helix,4105933250
Barlow,4100504000
Gladstone,4100529000
Sandy,4100565250
Newport,4104152450
Depoe Bay,4104118850
Siletz,4104167500
Waldport,4104178000
Yachats,4104184200
Estacada,4100523800
Happy Valley,4100532050
Molalla,4100549450
West Linn,4100580150
Ashland,4102903050
Phoenix,4102957500
Gold Beach,4101529900
Brookings,4101508650
Moro,4105550000
Junction City,4103938000
Paisley,4103756250
Sisters,4101767950
Banks,4106703850
Cornelius,4106715550
Durham,4106721250
Gaston,4106728100
Hillsboro,4106734100
King City,4106739150
North Plains,4106753150
Metolius,4103147750
Echo,4105922200
Springfield,4103969600
Oakridge,4103954100
Cottage Grove,4103915950
Silverton,4104767650
Salem,4104764900
Woodburn,4104783750
Umatilla,4105975650
Pendleton,4105957150
Bandon,4101103800
Coos Bay,4101115250
Coquille,4101115350
The Dalles,4106572950
Shaniko,4103166700
Mount Vernon,4102350250
Canyon City,4102310950
Dayville,4102318300
John Day,4102337550
Monument,4102349750
Prairie City,4102359650
Canby,4100510750
Johnson City,4100537650
Oregon City,4100555200
Chiloquin,4103513050
Wallowa,4106378150
La Grande,4106140350
Albany,4104301000
Dallas,4105317700
Independence,4105336150
Monmouth,4105349550
Willamina,4107182350
Canyonville,4101911000
Drain,4101920500
Newberg,4107152100
Halsey,4104331750
Prescott,4100959750
St. Helens,4100964600
Scappoose,4100965500
Cannon Beach,4100710850
Warrenton,4100778900
Lowell,4103944050
Coburg,4103914400
Creswell,4103916950
Dunes City,4103921150
Eugene,4103923850
Florence,4103926050
Veneta,4103977050
Westfir,4103979950
Boardman,4104907200
Heppner,4104933550
Irrigon,4104936500
Lexington,4104942200
Adrian,4104500500
Jordan Valley,4104537850
Nyssa,4104553750
Rockaway Beach,4105762900
Tillamook,4105773700
Wheeler,4105781300
Halfway,4100131650
Unity,4100176250
Greenhorn,4102331050
Cove,4106116250
Baker City,4100103650
Island City,4106136750
Union,4106175850
Lincoln City,4104142600
Toledo,4104174000
Richland,4100161700
Sumpter,4100171000
Huntington,4104535700
Falls City,4105324550
Beaverton,4106705350
Forest Grove,4106726200
Lake Oswego,4100540550
Portland,4105159000
Tigard,4106773650
Wilsonville,4100582800
Hood River,4102734900
Philomath,4100357450
Sweet Home,4104371950
Lebanon,4104341650
Mitchell,4106949150
Adair Village,4100300275
Corvallis,4100315800
Monroe,4100349600
Maywood Park,4105146730
La Pine,4101741050
Cascade Locks,4105111600
Gresham,4105131250
Wood Village,4105183950
Fairview,4105124250
Redmond,4101761200
Garibaldi,4105728000
Bonanza,4103507300
Merrill,4103547700
Joseph,4106337900
Culver,4103117300
Long Creek,4102343550
Milwaukie,4100548650
Troutdale,4105174850
Granite,4100130500
Seneca,4102366200
Myrtle Creek,4101950950
Roseburg,4101963650
Sutherlin,4101971650
Adams,4105900350
Athena,4105903200
Madras,4103145250
Enterprise,4106323500
Lostine,4106343900
Hermiston,4105933700
Milton-Freewater,4105948600
Pilot Rock,4105957650
Stanfield,4105969900
Ukiah,4105975550
Weston,4105980350
Condon,4102115000
Bay City,4105704800
Nehalem,4105751700
Lakeview,4103740700
Grass Valley,4105530650
Rivergrove,4100562250
Sherwood,4106767100
Tualatin,4106774950
Wasco,4105578950
Manzanita,4105745700
Carlton,4107111150
Central Point,4102912400
Winston,4101983400
Malin,4103545400
Astoria,4100703150
Gearhart,4100728450
Seaside,4100765950
Glendale,4103329350
Oakland,4101954000
Reedsport,4101961300
Riddle,4101961850
Yoncalla,4101984600
Aloha,4106701650
Alpine,4100301700
Alsea,4100301800
Altamont,4103501850
Annex,4104502200
Barnesdale,4105704125
Barview,4101104400
Bayshore,4104104850
Bayside Gardens,4105704925
Beatty,4103505150
Beaver,4105705200
Beavercreek,4100505250
Beaver Marsh,4103505300
Bellfountain,4100305700
Bethany,4106705950
Biggs Junction,4105506400
Black Butte Ranch,4101706650
Blodgett,4100306950
Bly,4103507150
Boring,4100507550
Brogan,4104508600
Brooks,4104708750
Bull Mountain,4106709535
Bunker Hill,4101109600
Butteville,4100510100
Camp Sherman,4103110550
Cape Meares,4105711050
Cascadia,4104311700
Cayuse,4105911900
Cedar Hills,4106712050
Cedar Mill,4106712150
Chemult,4103512750
Chenoweth,4106512800
Cherry Grove,4106712850
Cheshire,4103913000
Cloverdale,4105714200
Crabtree,4104316350
Crane,4102516450
Crawfordsville,4104316650
Crescent,4103516750
Crescent Lake,4101716800
Crooked River Ranch,4103116975
Damascus,4100517800
Days Creek,4101918150
Deer Island,4100918450
Deschutes River Woods,4101719020
Dexter,4103919250
Dillard,4101919600
Dilley,4106719650
Dunthorpe,4100521215
Eagle Crest,4101721450
Elmira,4103923000
Eola,4105323550
Fair Oaks,4101924100
Fairview,4105724300
Falcon Heights,4103524350
Foots Creek,4102926165
Fort Hill,4107126400
Fort Klamath,4103526450
Four Corners,4104726750
Garden Home-Whitford,4106727825
Gardiner,4101927850
Gilchrist,4101728800
Glasgow,4101129100
Glide,4101929750
Gopher Flats,4105930165
Government Camp,4100530250
Grand Ronde,4107130300
Green,4101930750
Green Meadows,4105931115
Harbor,4101532100
Harper,4104532400
Hayesville,4104732850
Hebo,4105733100
Heceta Beach,4103933150
Holley,4104334650
Idaville,4105735850
Jasper,4103937150
Jeffers Gardens,4100737202
Jennings Lodge,4100537400
Juniper Canyon,4101338075
Juntura,4104538150
Keno,4103538750
Kerby,4103338900
Kings Valley,4100339350
Kirkpatrick,4105939566
Knappa,4100739850
Labish Village,4104740050
Lacomb,4104340150
Langlois,4101140950
Lincoln Beach,4104142550
Lookingglass,4101943650
McKay,4105944625
Mapleton,4103945750
Marcola,4103945850
Marion,4104745900
Marlene Village,4106746100
Meacham,4105946800
Mehama,4104747300
Melrose,4101947350
Merlin,4103347650
Metzger,4106747800
Mission,4105949000
Mount Hood,4102750200
Mount Hood Villages,4100550236
Mulino,4100550450
Neahkahnie,4105751450
Neotsu,4104151900
Nesika Beach,4101551950
Neskowin,4105752000
Netarts,4105752050
New Hope,4103352275
New Pine Creek,4103752400
Oak Grove,4100553900
Oak Hills,4106753988
Oatfield,4100554325
O'Brien,4103354350
Oceanside,4105754450
Ochoco West,4101354527
Odell,4102754550
Oregon Shores,4103555268
Orient,4105155500
Pacific City,4105756150
Parkdale,4102756500
Peoria,4104357300
Pine Grove,4106557850
Pine Hollow,4106557875
Pistol River,4101558050
Pleasant Valley,4105758500
Plush,4103758550
Prineville Lake Acres,4101359916
Pronghorn,4101760070
Prospect,4102960100
Raleigh Hills,4106760900
Redwood,4103361250
Rhododendron,4100561550
Rickreall,4105361800
River Point,4100762292
River Road,4103962300
Riverside,4105962412
Rockcreek,4106763010
Rocky Point,4103563250
Roseburg North,4101963660
Rose Lodge,4104163800
Rowena,4106563950
Ruch,4102964150
Running Y Ranch,4103564282
San Marine,4104165300
Santa Clara,4103965400
Saunders Lake,4101165450
Selma,4103366150
Seventh Mountain,4101766385
Shedd,4104366900
Silver Lake,4103767600
South Lebanon,4104368875
Sportsmans Park,4106569387
Sprague River,4103569400
Stafford,4100569800
Summit,4100370870
Sunriver,4101771250
Svensen,4100771800
Takilma,4103372400
Terrebonne,4101772800
Tetherow,4101772820
Three Rivers,4101773225
Trail,4102974400
Trent,4103974550
Tri-City,4101974650
Tumalo,4101775050
Tutuilla,4105975185
Tygh Valley,4106575500
Umapine,4105975600
Wallowa Lake,4106378160
Wamic,4106578300
Warm Springs,4103178600
Warren,4100978800
Wedderburn,4101579500
West Haven-Sylvan,4106780025
Westport,4100780400
West Scio,4104380750
West Slope,4106780900
White City,4102981450
Williams,4103382450
Wimer,4102982850
Winchester Bay,4101983050